,Title,Publish Date,Place of Accident,Dead,Cause Of Accident,Village Of Accident,Time,Road,Travel To,Travel From,Cars Involved,Cars ,Registration,Day Of Accident,Type Of Accident,Day_Night
192,Police name victims of grisly Nakasongola road carnage,2022-01-16,Nakasongola,7.0,14,Kyampisi village,21.0,Kampala-Gulu ,to Kampala City,Nakaseke,taxi,Commuter taxi,,Saturday,rammed into stationary  truck,Night
193,How nine people perished in Lira accident,2022-01-12,Lira,9.0,"reckless driving, overloading and speeding.",,18.0,Pii-awac swamp,to Ajuri,,Fuso truck,Truck,,Monday,overturned,Day
194,Four dead after truck knocks two motorcycles in Bundibugyo,2022-01-12,Bundibugyo,4.0,lost control,,6.0,Bundibugyo - Fort portal ,Bundibugyo town,from Nyahuka town,truck,Truck,,Tuesday,crahed motorcycle,Night
195,"Seven dead, scores injured in Lira road accident",2022-01-11,Lira,7.0,"reckless driving,",Piiawac,20.0,Abako-Lira road,seven traders were killed,,Fuso truck,Truck,,Monday,overturned,Night
196,"One dead, four injured as car overturns along Mbale-Tirinyi road",2022-01-04,Budaka,1.0,, Lupada village,15.0,Mbale-Tirinyi road,,from Mbale City,Rogers Gesa,Private cars,,,overturned,Day
197,Three perish in Mabira Forest road accident,2022-01-02,Buikwe,3.0,,Najjembe Trading Centre,6.0,Kampala -Jinja,to Kampala,from Jinja City,,,UAL,January,rammed into stationary  truck,Night
198,Truck knocks dead roadside fuel vendor in Kamuli,2023-12-21,Kamuli,1.0,,Kiyunga Village,14.0,Kamuli-Jinja Highway,,,truck,Truck,UBN,Wednesday,knocked pedestrian,Day
199,Four dead after trucks collide in Sheema,2023-12-20,Mbarara,4.0,reckless driving.”,,10.0,Kinaaku-Kyenkokora in,to Mbarara,from Bushenyi,Toyota Fielder,Private cars,,Tuesday,head on collision,Day
200,"One killed, 57 injured as bus overturns on Kampala–Masaka Highway",2023-12-08,Masaka City,1.0,moving at high speed,,6.0,Kabale-Bugonzi Village,to Mbarara City,from Kampala,bus,Bus,,,overturned,Night
201,"Two dead, three injured after truck rams into 10 cars at Namboole",2023-12-07,Courtesy pic.twitter.com/CwZ0UkcdXv,2.0,,Namboole,20.0,Namboole,to Kampala,,trailer,Truck,,Thursday,rammed other vehicle,Night
202,Engineer dies day after Okuhingira,2023-12-04,Kisoro,1.0,vehicles driving on,Kahunga trading center,13.0,Ntungamo-Mbarara ,to drive,from Mbarara,Subaru Forester - taxi,Commuter taxi,UBP,Sunday,head on collision,Day
203,Four die in car accident,2023-12-04,Nakapiripirit,4.0,speeding,,6.0,Nakapiripirit - Mbale road,,from Mbale District,Isuzu FSR,Truck,,Seven,overturned,Night
204,Family of 5 killed in car accident at known black spot,2023-12-27,Kapchorwa,5.0,,Towei slope,,Bulambuli-Kapchorwa road,to Kampala,from Bukwo district,taxi,Commuter taxi,UBD,Tuesday,overturned,Day
205,"Indian national knocks UWA warden dead, arrested",2023-12-04,Bulisa,1.0,careless driving.,Francis,6.0,,,,Toyota Wish,Private cars,UBG,Tuesday,head on collision,Night
206,6 dead after car rams into Busoga royal wedding roadside viewers,2023-11-18,Jinja City,6.0,,Kyabazinga William Gabula Nadiope IV,6.0,Kamuli-Jinja road,to Kamuli,from Jinja,Toyota super,Private cars,,,knocked pedestrian,Night
207,Angry residents block Fort Portal-Kampala road after one dies in accident,2023-11-12,Kyegegwa District.,1.0,,Katente,9.0,Fort Portal-Kampala road,to Fort Portal,from Kampala,Fuso truck,Truck,,Saturday,overturned,Day
208,15 people die in two separate Iganga-Jinja road crashes,2023-11-04,Mayuge,15.0,reckless driving.,Musita trading centre,23.0,Kampala-Jinja ,to Kampala,from Jinja,taxi,Commuter taxi,UBE,Friday,rammed into stationary  truck,Night
209,Ten critically injured as truck rams into Gulu fuel station,2023-10-31,Jinja  ,,morning,Customs Corner Roundabout,6.0,Gulu-Juba Highway.,,,Fuso truck,Truck,,Tuesday,rammed into house,Night
210,Six killed in Masindi accident,2023-10-19,Masindi,6.0,,Murchison Falls National Park,22.0,Masindi-Pakwach road,headed for Pakwach,from Kampala,Isuzu Truck,Truck,,Wednesday,overturned,Night
211,Professor Ogenga Latigo survives another accident,2023-10-01,Nakasongola,,,Lubenge swamp,23.0,Kampala-Gulu ,to Kampala city,from Masindi,Mercedes Benz,Truck,UBG,Saturday,rammed into stationary  truck,Night
